Plz;Ort;Longitude;Latitude
4090;"Engelhartszell";48.5167;13.7333
4470;"Enns";48.2;14.4667
4761;"Enzenkirchen";48.3833;13.65
2032;"Enzersdorf im Thale";48.5833;16.2333
6343;"Erl";47.6833;12.1833
3253;"Erlauf";48.1833;15.1833
2115;"Ernstbrunn";48.5333;16.35
6383;"Erpfendorf";47.5833;12.4667
4092;"Esternberg";48.5331;13.6
3492;"Etsdorf am Kamp";48.4333;15.7333
5301;"Eugendorf";47.8667;13.1167
3324;"Euratsfeld";48.0667;14.9167
9583;"Faak am See";46.5681;13.9097
5324;"Faistenau";47.7667;13.2333
8350;"Fehring";46.94;16.0081
2873;"Feistritz am Wechsel";47.6;16.05
9710;"Feistritz an der Drau";46.6925;13.6897
9613;"Feistritz an der Gail";46.5775;13.6067
9181;"Feistritz im Rosental";46.5167;14.1667
9544;"Feld am See";46.7764;13.7478
8330;"Feldbach";46.9531;15.8883
6800;"Feldkirch";47.2331;9.6
6803;"Feldkirch";47.2331;9.6
4101;"Feldkirchen an der Donau";48.35;14.05
8073;"Feldkirchen bei Graz";47.0167;15.45
5143;"Feldkirchen bei Mattighofen";48.0667;13.05
9560;"Feldkirchen in Kärnten";46.7167;14.1
2603;"Felixdorf";47.8833;16.2333
3481;"Fels am Wagram";48.4333;15.8167
9170;"Ferlach";46.5269;14.3019
3325;"Ferschnitz";48.0833;15
3483;"Feuersbrunn";48.4333;15.7833
6391;"Fieberbrunn";47.4833;12.55
5532;"Filzmoos";47.4333;13.5167
6292;"Finkenberg";47.15;11.8333
9584;"Finkenstein";46.55;13.9
8654;"Fischbach";47.0667;10.9667
6533;"Fiss";47.05;10.6167
5542;"Flachau";47.3333;13.4
9831;"Flattach";46.9386;13.1344
6403;"Flaurling";47.2833;11.1167
6572;"Flirsch";47.15;10.4
8183;"Floing";47.2667;15.75
8753;"Fohnsdorf";47.2;14.6833
7212;"Forchtenstein";47.7;16.3333
4892;"Fornach";48.0333;13.4333
3213;"Frankenfels";47.9667;15.3167
4890;"Frankenmarkt";47.9833;13.4167
5131;"Franking";48.05;12.9167
3594;"Franzen";48.6167;15.3833
6820;"Frastanz";47.2167;9.63306
2132;"Frättingsdorf";48.6333;16.5167
7132;"Frauenkirchen";47.8333;16.9167
3183;"Freiland";46.8333;15.1333
8694;"Frein an der Mürz";47.75;15.4833
9712;"Fresach";46.7156;13.6908
8441;"Fresing";46.7586;15.4475
8240;"Friedberg";47.4333;16.05
5211;"Friedburg";48.0167;13.25
3533;"Friedersbach";48.5833;15.2667
6122;"Fritzens";47.3;11.5833
8130;"Frohnleiten";47.2667;15.3167
8841;"Frojach";47.1308;14.3086
6263;"Fügen";47.35;11.85
6166;"Fulpmes";47.1667;11.35
9586;"Fürnitz";46.5569;13.8211
8280;"Fürstenfeld";47.05;16.0833
5330;"Fuschl am See";47.8;13.3
6972;"Fußach";47.4831;9.66667
3003;"Gablitz";48.2167;16.15
3334;"Gaflenz";47.8833;14.7167
2541;"Gainfarn";47.95;16.2
